Run name: allcases_3600s_20260620_005457_hp8_m
Run directory: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m
Training log: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/train.log
Default RL canvas aligned to fastTM interposer: 100.0 x 100.0

生成/检查 fastTM 热阻表...
  热阻表阶段状态: ok
  热阻表阶段耗时: 101.240s
  热阻表日志: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/thermal_tables.log
======================================================================
PPO训练 - 芯片布局优化
======================================================================

环境信息:
  芯片数量: 8
  放置顺序: ['A', 'C', 'D', 'G', 'E', 'B', 'F', 'H']
  观察维度: 10
  动作维度: 2050000

开始训练...
----------------------------------------------------------------------
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 1/1000000
  reward: 52.68
  placed_chiplets: 3/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep1_r52.68.json
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 2/1000000
  reward: 136.66
  placed_chiplets: 6/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep2_r136.66.json
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 25/1000000
  reward: 136.77
  placed_chiplets: 6/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep25_r136.77.json
Episode 100/1000000
  平均奖励: 128.42
  成功率: 0.0%
  累计RL时间: 22.37s
  本区间时间: 22.37s
  损失: 984.1051
  熵: 4.0786
  KL散度: 9.876607
Episode 200/1000000
  平均奖励: 135.80
  成功率: 0.0%
  累计RL时间: 43.98s
  本区间时间: 21.61s
  损失: 570.8810
  熵: 4.4715
  KL散度: 8.037649
Episode 300/1000000
  平均奖励: 135.86
  成功率: 0.0%
  累计RL时间: 65.53s
  本区间时间: 21.55s
  损失: 388.9490
  熵: 4.6116
  KL散度: 8.242729
Episode 400/1000000
  平均奖励: 133.33
  成功率: 0.0%
  累计RL时间: 87.20s
  本区间时间: 21.67s
  损失: 153.8086
  熵: 4.6890
  KL散度: 8.623840
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 429/1000000
  reward: 137.40
  placed_chiplets: 6/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep429_r137.40.json
ILLEGAL_BEST_LAYOUT_UPDATED
  episode: 487/1000000
  reward: 179.64
  placed_chiplets: 7/8
  json: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/illegal/illegal_best_ep487_r179.64.json
Episode 500/1000000
  平均奖励: 115.33
  成功率: 0.0%
  累计RL时间: 106.26s
  本区间时间: 19.06s
  损失: 111.0280
  熵: 4.7222
  KL散度: 9.168903
Episode 600/1000000
  平均奖励: 109.61
  成功率: 0.0%
  累计RL时间: 123.55s
  本区间时间: 17.29s
  损失: 28.5629
  熵: 4.7610
  KL散度: 8.605310
Episode 700/1000000
  平均奖励: 117.67
  成功率: 0.0%
  累计RL时间: 142.67s
  本区间时间: 19.12s
  损失: 185.1142
  熵: 4.8278
  KL散度: 9.121262
Episode 800/1000000
  平均奖励: 109.38
  成功率: 0.0%
  累计RL时间: 160.39s
  本区间时间: 17.72s
  损失: 85.8069
  熵: 5.4625
  KL散度: 7.830504
Episode 900/1000000
  平均奖励: 98.81
  成功率: 0.0%
  累计RL时间: 176.94s
  本区间时间: 16.55s
  损失: 574.6480
  熵: 7.2657
  KL散度: 9.753720
Episode 1000/1000000
  平均奖励: 93.24
  成功率: 0.0%
  累计RL时间: 192.76s
  本区间时间: 15.81s
  损失: 464.5170
